LanguagePack ko-KR|번역
moorl-merchant-finder.tags|태그
moorl-merchant-finder.thereAre|여기에는 
moorl-merchant-finder.www|WWW
moorl-merchant-finder.zipcodeCity|우편번호, 도시
moorl-merchant-finder.zipcodeCityEnter|우편번호 또는 도시를 입력하고 Enter를 누르십시오
nimbits-pricerequests.cart.cartRequestButton|제안 요청
nimbits-pricerequests.cart.dontAddByProductNumber|이 제품은 장바구니에 추가할 수 없습니다.
nimbits-pricerequests.detail.available|사용 가능
nimbits-pricerequests.detail.button.openrequestform|제안 요청
nimbits-pricerequests.detail.restock|"{1} 1일 후에 사용 가능|]1,Inf[ %restockTime%일 후에 사용 가능"
nimbits-pricerequests.detail.text.priceonrequest|요청 시 가격
