TENTE ja-JP|翻訳
cbaxLexicon.page.listing.metaKeywordsK|レキシコンメタキーワードリストK
cbaxLexicon.page.listing.metaKeywordsL|レキシコンメタキーワードリストL
cbaxLexicon.page.listing.metaKeywordsM|レキシコンメタキーワードリストM
cbaxLexicon.page.listing.metaKeywordsN|レキシコンメタキーワードリストN
cbaxLexicon.page.listing.metaKeywordsO|レキシコンメタキーワードリストO
cbaxLexicon.page.listing.metaKeywordsP|レキシコンメタキーワードリストP
cbaxLexicon.page.listing.metaKeywordsQ|レキシコンメタキーワードリストQ
cbaxLexicon.page.listing.metaKeywordsR|レキシコンメタキーワードリストR
cbaxLexicon.page.listing.metaKeywordsS|レキシコンメタキーワードリストS
cbaxLexicon.page.listing.metaKeywordsT|レキシコンメタキーワードリストT
cbaxLexicon.page.listing.metaKeywordsU|レキシコンメタキーワードリストU
cbaxLexicon.page.listing.metaKeywordsV|レキシコンメタキーワードリストV
cbaxLexicon.page.listing.metaKeywordsW|レキシコンメタキーワードリストW
cbaxLexicon.page.listing.metaKeywordsX|レキシコンメタキーワードリストX
cbaxLexicon.page.listing.metaKeywordsY|レキシコンメタキーワードリストY
cbaxLexicon.page.listing.metaKeywordsZ|レキシコンメタキーワードリストZ
cbaxLexicon.page.listing.metaTitle09|0-9
cbaxLexicon.page.listing.metaTitleA|A
cbaxLexicon.page.listing.metaTitleB|B さん
cbaxLexicon.page.listing.metaTitleC|C - C - 
cbaxLexicon.page.listing.metaTitleD|D さん
cbaxLexicon.page.listing.metaTitleE|E
cbaxLexicon.page.listing.metaTitleF|F - F - 
cbaxLexicon.page.listing.metaTitleG|G さん
cbaxLexicon.page.listing.metaTitleH|H
cbaxLexicon.page.listing.metaTitleI|私
cbaxLexicon.page.listing.metaTitleJ|J さん
cbaxLexicon.page.listing.metaTitleK|K
cbaxLexicon.page.listing.metaTitleL|L
cbaxLexicon.page.listing.metaTitleM|M さん
cbaxLexicon.page.listing.metaTitleN|N さん
cbaxLexicon.page.listing.metaTitleO|O オー
cbaxLexicon.page.listing.metaTitleP|P さん
cbaxLexicon.page.listing.metaTitleQ|Q
cbaxLexicon.page.listing.metaTitleR|R は
cbaxLexicon.page.listing.metaTitleS|S さん
cbaxLexicon.page.listing.metaTitleT|T さん
cbaxLexicon.page.listing.metaTitleU|U の
cbaxLexicon.page.listing.metaTitleV|V
cbaxLexicon.page.listing.metaTitleW|W さん
cbaxLexicon.page.listing.metaTitleX|X さん
cbaxLexicon.page.listing.metaTitleY|Y さん
cbaxLexicon.page.listing.metaTitleZ|Z さん
cbaxLexicon.page.navigation.linkContent|目次
cbaxLexicon.page.navigation.linkIndex|開始ページ
cbaxLexicon.page.pagination.toOverview|概要へ
cbaxLexicon.page.sidebar.title|レキシコン：
checkout.confirmRevocationReminder|お客様はすでに、撤回権を放棄することを宣言しています。
checkout.confirmRevocationTerms|デジタルコンテンツへの即時アクセスを希望し、それによってキャンセルする権利を放棄することを認めます。
checkout.confirmTermsReminderText|お客様はすでに<a data-ajax-modaltrue−(* data-url℠%url%−(* hreflimumab%url%−(* title−(*genegeneral terms and conditions℠>general terms and conditions</a>に同意されています。
checkout.confirmTermsText|私は、<a data-ajax-modallimumabtrue−(* data-urllimumab%url%−(* hreflimumab%url%−(* title−(*general terms and conditions、庶務省＞一般条件</a>を読み、同意しました。
checkout.lineItemUnitPriceDescriptor|ユニット
checkout.merchant-not-selected|チェックアウトを進めるには、お近くの販売店を選択してください。
checkout.or|または
CmsElements.callToAction.elementError|この要素はサイドバーでは使用できません。サイドバーに別の<p class='h5 my-2'>Call to Action</p>を選択してください。
CmsElements.counter.days|日数
CmsElements.counter.hours|HRS
CmsElements.counter.seconds|SEC
CmsElements.htmlVideo.hint.content|有効なビデオをアップロードしていません。要素の設定を確認します。
CmsElements.htmlVideo.hint.headline|フォーマットが間違っている/ビデオがない
CmsElements.placeholder.label|エレメントを置換
CmsElements.shopTheLook.addAllProducts|ショッピングカートに商品を追加する
CmsElements.shopTheLook.totalDiscount|割引：
component.cms.imageGallery.sliderDotLabel|%total% の画像 %index% を表示
component.cms.vimeo.privacyNoticeText|ビデオを見ると、あなたのデータが%platform%に転送され、<a data-ajax-modallimumabtrue−(* data-url合わせのデータ-url合わせて%url%、こんにちは、%url%、こんにちはのタイトルをお読みになったことに同意したものとみなされます。
component.product.quantitySelect.decrease|数量を減らす
component.product.quantitySelect.increase|数量を増やす
component.product.quantitySelect.label|数量
contact.newsletterSubscribe|私は、TENTEの製品およびイベント（見本市の出演など）について、TENTEが私に電子メールおよび電話で通知することに同意します。
contact.privacyNoticeText|続行を選択すると、当社の<a data-ajax-modaltrue−(* data-urllimumab%privacyUrl%−(* hreflimumab%privacyUrl%−(* title−(*Data protection information−(*>data protection information</a>を読み、同意したことになります。
cookie.groupComfortFeaturesYoutubeVideo|YouTube動画
cookie.messageText|このウェブサイトは、可能な限り最高の体験を提供するためにクッキーを使用します。 <a data-ajax-modaltrue ご意見・ご感想 data-url ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想 ご意見・ご感想・ご感想 ご意見・ご感想・ご感・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・・・・ご感想・・・
detail.acrisProductDownloadBtnText|ダウンロード
detail.acrisProductDownloadNoPreview|プレビューなし
detail.acrisProductDownloadTabLabel|ダウンロード
detail.acrisProductDownloadTitle|ダウンロード
detail.acrisProductLinkTabLabel|リンク
detail.acrisProductLinkTitle|リンク
detail.buyOnline|オンラインで購入
detail.cadService.downloadBtn|ダウンロード
detail.cadService.fileFormatPdf|PDF
detail.cadService.fileFormatplaceholder|ファイルタイプ
detail.cadService.fileFormatStep|STEP-2.14
detail.cadService.headline|この製品の建設データを異なる形式でダウンロードできます
detail.cadService.login|CAD ファイルを表示するには、<a href 関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数関数
detail.cadService.title|CADサービス
detail.contactText|まだ適切な製品が見つかっていない、特別な要件がある、または個別のソリューションに興味がありますか？ <a href Returns%url% 役職名 役職名 役職名 役職名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名 名
detail.ean|イーアン
detail.orderNumber|製品番号
detail.orText|または
detail.performance.atrittion|アトリクション
detail.performance.movement|動きのノイズ
detail.performance.resistance|耐食性
detail.performance.roll|ロール性能
detail.priceOnRequestText|1個あたり+VAT<br />24時間以内に出荷可能
detail.priceOnRequestTitle|ご要望による価格
detail.properties.fitting|技術データフィッティング
detail.properties.housing|技術データハウジング
detail.properties.label.downloads|ダウンロード
detail.properties.label.feature|製品機能
detail.properties.label.fitting|フィッティング
detail.properties.label.housing|ハウジング
detail.properties.label.performance|パフォーマンス
detail.properties.label.wheel|車輪
detail.properties.performance|パフォーマンス
detail.properties.wheel|技術データ車輪
detail.qte|数量
detail.reviewFormContentPlaceholder|レビューを入力してください...
detail.sendQuoteRequest|見積依頼を送信
detail.tabs.downloads|ダウンロード
detail.tabs.features|機能
detail.tabs.performance|パフォーマンス
error.CHECKOUT__CART_INVALID_LINE_ITEM_QUANTITY|数量 (%quantity%) が正しくありません。
error.CHECKOUT__ORDER_ORDER_ALREADY_PAID|注文番号がErcovery%orderNumber%の注文は既に支払われており、その後は編集できません。
error.CHECKOUT__ORDER_ORDER_NOT_FOUND|この注文は見つかりませんでした。
error.merchant-not-selected|チェックアウトを進めるには、お近くの販売店を選択してください。
error.VIOLATION::ZIP_CODE_INVALID|入力された郵便番号の形式が正しくありません。
footer.excludeVatText|* すべての料金は対象外です。VATに、別途記載がない限り、<a data-ajax-modaltrue ご意見・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・
footer.includeVatText|* すべての料金には以下のものが含まれます。 VATに、別途記載がない限り、<a data-ajax-modaltrue ご意見・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・ご感想・
footer.serviceContactText|または、当社の<a data-ajax-modaltrue−(* data-urlxls%url%−(* hreflimumab%url%−(* title−(*Contact form−(*>contact form</a>からお問い合わせください。
footer.socialMediaHeadline|ソーシャル
general.contactUs|お問い合わせ
general.contactUsLink|/連絡先
general.loginRegister|ログイン/登録
general.privacyNoticeText|"By subscribing to the newsletter you accept our <a data-ajax-modal=""true"" data-url=""%privacyUrl%"" href=""%privacyUrl%"" title=""Privacy policy"">privacy policy</a> as well as our <a data-ajax-modal=""true"" data-url=""%tosUrl%"" href=""%tosUrl%"" title=""terms and conditions"">terms and conditions</a>."
global.default.activate|アクティブ化
global.default.cancel|キャンセル
global.default.confirm|確認
global.default.deactivate|非アクティブ化
global.default.delete|削除
global.default.edit|編集
global.default.noteRequiredFields|アスタリスク（*）が付いたフィールドは必須です。
global.default.save|保存
listing.downloadText|ダウンロード
moorl-creator.aboutTheCreator|作成者について
moorl-creator.aboutTheCreators|クリエイターについて
moorl-creator.creator|作成者
moorl-creator.creators|作成者
moorl-creator.donate|寄付
moorl-creator.follow|フォロー
moorl-creator.link|ホームページ
moorl-creator.productsOf|の商品
moorl-creator.readMore|詳細を読む...
moorl-foundation.buttons.acceptCookie|クッキーを受け入れる
moorl-foundation.buttons.addMerchantButtonText|新規加盟店
moorl-foundation.buttons.administrationButtonText|投与
moorl-foundation.buttons.cancelButtonText|キャンセル
moorl-foundation.buttons.exportButtonText|CSVをエクスポート
moorl-foundation.buttons.exportButtonTitle|CSVをダウンロード
moorl-foundation.buttons.getLocButtonText|OpenStreetMapでポジションを取得
moorl-foundation.buttons.importButtonText|CSVをインポート
moorl-foundation.buttons.importButtonTitle|CSVをアップロードする
moorl-foundation.buttons.mediaFolder|このフォルダに画像を保存
moorl-foundation.buttons.newButtonText|新規
moorl-foundation.buttons.openMapButtonText|マップを開く
moorl-foundation.buttons.openNewWindowButtonText|新しいウィンドウで開く
moorl-foundation.buttons.overwriteText|既存のデータ行を上書きします（originIdを設定する必要があります）。
moorl-foundation.buttons.placeIdLink|計画ルート
moorl-foundation.buttons.refreshButtonText|リロード
moorl-foundation.buttons.saveButtonText|保存
moorl-foundation.buttons.selectLocButtonText|選択
moorl-foundation.buttons.startImportButtonText|インポートを開始
moorl-foundation.card.address|アドレス
moorl-foundation.card.company|会社
moorl-foundation.card.contact|連絡先
moorl-foundation.card.legend|凡例
moorl-foundation.card.openingHours|営業時間
moorl-foundation.card.person|連絡先
moorl-foundation.customerUpload.checkToDelete|チェックして削除
moorl-foundation.customerUpload.dictDefaultMessage|ここにファイルをドラッグしてアップロード
moorl-foundation.customerUpload.useAsCover|カバーとして使用
moorl-foundation.days.closed|クローズ
moorl-foundation.days.friday|金曜日
moorl-foundation.days.monday|月曜日
moorl-foundation.days.saturday|土曜日
moorl-foundation.days.sunday|日曜日
moorl-foundation.days.thursday|木曜日
moorl-foundation.days.today|今日
moorl-foundation.days.tuesday|火曜日
moorl-foundation.days.wednesday|水曜日
moorl-foundation.general.selectedItems|選択した項目
moorl-foundation.general.share|共有
moorl-foundation.general.subTotal|小計
moorl-foundation.general.toc|目次
moorl-foundation.label.accountCard|アカウント
moorl-foundation.label.addressCard|アドレス
moorl-foundation.label.generalCard|一般
moorl-foundation.label.locationCard|場所
moorl-foundation.label.markerCard|マーカー
moorl-foundation.label.metaCard|メタ
moorl-foundation.label.relationsCard|関係とフィルター
moorl-foundation.label.visibilityCard|可視性
moorl-foundation.listing.filter.categories|カテゴリ
moorl-foundation.listing.filter.country|国
moorl-foundation.listing.filter.distance|距離
moorl-foundation.listing.filter.firstChar|インデックス
moorl-foundation.listing.filter.inRadiusOf|半径
moorl-foundation.listing.filter.km|KM
moorl-foundation.listing.filter.mi|ミシガン州
moorl-foundation.listing.filter.myLocation|自分の場所を使用する
moorl-foundation.listing.filter.navigation|カテゴリ
moorl-foundation.listing.filter.radius|郵便番号を検索
moorl-foundation.listing.filter.search|テキストを検索
moorl-foundation.listing.filter.tags|タグ
moorl-foundation.listing.filter.zipcodeCity|郵便番号/市区町村
moorl-foundation.properties.active|アクティブ
moorl-foundation.properties.additionalAddressLine1|住所1行目
moorl-foundation.properties.additionalAddressLine2|住所2行目
moorl-foundation.properties.articles|記事
moorl-foundation.properties.author|著者
moorl-foundation.properties.categories|カテゴリ
moorl-foundation.properties.city|市区町村
moorl-foundation.properties.closed|クローズ
moorl-foundation.properties.cmsPage|CMSページ
moorl-foundation.properties.cmsPageId|CMSページID
moorl-foundation.properties.company|会社
moorl-foundation.properties.content|コンテンツ
moorl-foundation.properties.country|国
moorl-foundation.properties.countryCode|国コード
moorl-foundation.properties.countryId|国
moorl-foundation.properties.createdAt|作成場所
moorl-foundation.properties.customerGroupId|顧客グループ
moorl-foundation.properties.customerNumber|顧客番号
moorl-foundation.properties.date|日付
moorl-foundation.properties.department|部門
moorl-foundation.properties.description|説明
moorl-foundation.properties.distance|距離
moorl-foundation.properties.email|電子メール
moorl-foundation.properties.enableComments|コメントを有効にする
moorl-foundation.properties.firstName|名
moorl-foundation.properties.from|開始
moorl-foundation.properties.highlight|ハイライト
moorl-foundation.properties.image|記事
moorl-foundation.properties.info|情報
moorl-foundation.properties.inRadiusOf|半径
moorl-foundation.properties.invisible|非表示
moorl-foundation.properties.km|KM
moorl-foundation.properties.lastName|姓
moorl-foundation.properties.location|ポジション
moorl-foundation.properties.locationLat|緯度
moorl-foundation.properties.locationLon|経度
moorl-foundation.properties.locked|ロック済み
moorl-foundation.properties.logo|ロゴ
moorl-foundation.properties.marker|マーカー
moorl-foundation.properties.markerId|マーカー
moorl-foundation.properties.markerSettings|マーカー設定
moorl-foundation.properties.markerSettingsExample|この例をコピーして、カスタムマーカー設定を調整することができます。
moorl-foundation.properties.markerSettingsLink|リーフレットカスタムマーカーの例
moorl-foundation.properties.markerShadow|マーカー影
moorl-foundation.properties.markerShadowId|マーカーシャドー
moorl-foundation.properties.media|メディア
moorl-foundation.properties.mediaId|メディアID
moorl-foundation.properties.merchant|加盟店
moorl-foundation.properties.merchantUrl|マーチャントURL
moorl-foundation.properties.metaDescription|メタの説明
moorl-foundation.properties.metaTitle|メタタイトル
moorl-foundation.properties.name|名前
moorl-foundation.properties.openingHours|営業時間
moorl-foundation.properties.originId|起点ID
moorl-foundation.properties.phoneNumber|電話
moorl-foundation.properties.priority|優先度
moorl-foundation.properties.productManufacturers|メーカーID
moorl-foundation.properties.products|製品
moorl-foundation.properties.radius|半径
moorl-foundation.properties.repeat|繰り返し
moorl-foundation.properties.salesChannel|販売チャネル
moorl-foundation.properties.salesChannelId|販売チャネル
moorl-foundation.properties.search|検索
moorl-foundation.properties.shopUrl|ショップURL
moorl-foundation.properties.showFrom|表示元
moorl-foundation.properties.showUntil|まで表示
moorl-foundation.properties.slug|スラグ
moorl-foundation.properties.sticky|スティッキー
moorl-foundation.properties.street|ストリート
moorl-foundation.properties.streetNumber|番号
moorl-foundation.properties.tags|タグ名/ID
moorl-foundation.properties.teaser|ティーザー
moorl-foundation.properties.title|タイトル
moorl-foundation.properties.until|まで
moorl-foundation.properties.updatedAt|更新日時：
moorl-foundation.properties.vatId|VAT-ID
moorl-foundation.properties.zipcode|郵便番号
moorl-foundation.search.headline|"{0} は、Extrenascription%searchTerm% の一致がありません | {1} は、Extrenascription%searchTerm% の一致 | ]1,Inf[ %count% は、Extrenascription%searchTerm% の一致です"
moorl-foundation.search.missingConfiguration|このリストの構成がありません！
moorl-foundation.search.moreButton|その他
moorl-foundation.search.noListingSlotFound|このページにはリスト要素がありません。リスト設定をチェックし、AcrentalAutomatic items を選択します。
moorl-foundation.search.notAvailable|利用不可
moorl-foundation.search.product|製品
moorl-location-map.cookieDescription|OpenStreetMapをタイルプロバイダーとして使用し、店舗や加盟店の場所を視覚的に表示します。
moorl-location-map.cookieHint|希望する機能を使用するには、クッキーに同意してください。
moorl-location-map.cookieName|ロケーションマップ
moorl-magazine.articles|ブログ記事
moorl-magazine.author|著者
moorl-magazine.authors|著者
moorl-magazine.back|戻る
moorl-magazine.backToOverview|概要に戻る
moorl-magazine.categories|カテゴリ
moorl-magazine.categoryAll|すべてのカテゴリー
moorl-magazine.commentArea|コメント欄
moorl-magazine.commentAreaDisabled|この記事のコメントは無効です
moorl-magazine.commentError|すべてのフィールドが正しく入力されていることを確認してください
moorl-magazine.commentReview|コメントはレビュー後に公開されます。
moorl-magazine.commentSuccess|コメントありがとうございます！
moorl-magazine.date|日付
moorl-magazine.dateFormat|F jS ‒‒t g：ia / イエス・キョウジ
moorl-magazine.email|電子メール
moorl-magazine.emailPlaceholder|Eメールアドレスを入力してください
moorl-magazine.name|名前
moorl-magazine.namePlaceholder|名前を入力してください
moorl-magazine.next|次へ
moorl-magazine.page|ページ
moorl-magazine.pageDescription|Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.ロレム イプサム ドーラーは、アメット、コンセトゥールは、エリトル、セド ジアム ノミー eirmod tempor invidunt ut labore et dolore magna aliquyam erat 、セド ジアム voluptuaです。vero eos et accusam et justo duo dolores et ea rebumにて。Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. 海のタキマタサンクトス エスト ロレム イプサム ドーラーは、アメットの座り心地がいいです。Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua.ロレムイプサムドーラー座アメット、コンセトゥルサイダーは、エリトル、セドダイアムノウミーeirmodテンパーは、ビデントut labore et dolore magna aliquyam erat 、セドダイアムボルプトゥアです。vero eos et accusam et justo duo dolores et ea rebum で Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. シチュエーション・クリータ・カスド・グベルグレン、タキマタ・サンクタス・エスト・ロレム・イプサム・ドーラーのシー・アメットなし。
moorl-magazine.pageTitle|私の優美なブログ
moorl-magazine.posts|ブログ投稿
moorl-magazine.products|関連製品
moorl-magazine.readMore|詳細を読む
moorl-magazine.recentComments|最近のコメント
moorl-magazine.relatedArticles|関連ブログ投稿
moorl-magazine.search|検索
moorl-magazine.searchFor|検索...
moorl-magazine.sendComment|コメントを送信
moorl-magazine.similarArticles|似たようなブログ記事
moorl-magazine.sticky|ピン留め
moorl-magazine.tags|タグ
moorl-magazine.writeComment|コメントを書く
moorl-magazine.wroteOn|書いたのは
moorl-magazine.yourComment|コメント
moorl-magazine.yourCommentPlaceholder|ここにコメントを入力してください
moorl-merchant-finder.allCategories|すべてのカテゴリー
moorl-merchant-finder.allCountries|すべての国
moorl-merchant-finder.allManufacturers|すべてのメーカー
moorl-merchant-finder.allowMerchantCustomerContact|選択した加盟店が電話または電子メールで連絡することを許可します。
moorl-merchant-finder.allResults|-- 選択 --
moorl-merchant-finder.allTags|すべてのタグ
moorl-merchant-finder.are|は 
moorl-merchant-finder.available|利用可能
moorl-merchant-finder.backToOverview|概要に戻る
moorl-merchant-finder.call|通話
moorl-merchant-finder.cancel|キャンセル
moorl-merchant-finder.categories|カテゴリ
moorl-merchant-finder.checkAvailability|空室状況の確認
moorl-merchant-finder.chose|選択
moorl-merchant-finder.choseMerchant|加盟店の選択
moorl-merchant-finder.choseMerchantToProceed|チェックアウトを進めるには、お近くの販売店を選択してください
moorl-merchant-finder.close|閉じる
moorl-merchant-finder.commentToMerchant|マーチャントにコメントを送信する
moorl-merchant-finder.country|国
moorl-merchant-finder.deliveryTime|納期
moorl-merchant-finder.deliveryTimeUnknown|不明 - 注文時に製品がリクエストされます
moorl-merchant-finder.description|説明
moorl-merchant-finder.desiredDate|希望集荷日
moorl-merchant-finder.desiredTime|希望する集荷時間
moorl-merchant-finder.displayOnMap|マップに表示
moorl-merchant-finder.distance|距離
moorl-merchant-finder.emptyResultMessage|加盟店が見つかりません
moorl-merchant-finder.findMerchants|加盟店の検索
moorl-merchant-finder.forTheSearch|検索 
moorl-merchant-finder.forTheSearchZipcode|郵便番号と距離kmの周囲 
moorl-merchant-finder.highlight|ヒント
moorl-merchant-finder.km|KM
moorl-merchant-finder.loading|読み込み中...
moorl-merchant-finder.manufacturers|メーカー
moorl-merchant-finder.merchant|加盟店
moorl-merchant-finder.merchants|マーチャント
moorl-merchant-finder.merchantUrl|ウェブサイト
moorl-merchant-finder.more|その他
moorl-merchant-finder.myLocation|現在の場所を使用する
moorl-merchant-finder.mySelection|選択内容
moorl-merchant-finder.noMerchantSelected|製品は利用できません。加盟店が選択されていません。
moorl-merchant-finder.none|なし
moorl-merchant-finder.openingHours|営業時間
moorl-merchant-finder.outOfStock|製品は利用できません。選択された加盟店には、この商品の在庫がありません。
moorl-merchant-finder.phoneNumber|電話
moorl-merchant-finder.pickupDateSet|集荷時刻が設定されました
moorl-merchant-finder.productAvailability|製品の入手可能性
moorl-merchant-finder.productNotAvailable|製品は利用できません。詳細については、ショップサポートにお問い合わせください。
moorl-merchant-finder.radius|半径
moorl-merchant-finder.resetSelection|選択をリセット
moorl-merchant-finder.resultsFound|個の結果が見つかりました
moorl-merchant-finder.save|保存
moorl-merchant-finder.search|検索
moorl-merchant-finder.searchFor|検索
moorl-merchant-finder.searchLocation|場所を検索
moorl-merchant-finder.searchRules.hasLogo|ロゴ付きマーチャント
moorl-merchant-finder.searchRules.hasPriority|優先加盟店
moorl-merchant-finder.searchRules.isHighlighted|プレミアムマーチャント
